osm_id,osm_latitude,osm_longitude,verified,epass_name,osm_name,Tọa độ vị trí,google_name,google_latitude,google_longitude,distance,google_address,tên khác,google_maps_url,google_place_id,google_cid
12579076280,19.612120000352856,105.6713864,1,Nút giao Vạn Thiện,Trạm Thu Phí Vạn Thiện ( Nhánh 2 ),"19.6121389, 105.6688418",Trạm Thu Phí Vạn Thiện ( Nhánh 2 ),19.6121389,105.6688418,266.5401486457312,"JM7C+9C, Nông Cống, Thanh Hóa, Việt Nam",Trạm Thu Phí Vạn Thiện ( Nhánh 2 ),"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+V%E1%BA%A1n+Thi%E1%BB%87n+(+Nh%C3%A1nh+2+)/@19.6121389,105.6688418,17z/data=!4m6!3m5!1s0x3137030030c263e5:0xfd28d0ec4fa92db3!8m2!3d19.613476!4d105.671064!16s%2Fg%2F11z5x2yks7?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D",,
13603305917,19.3647537,105.6952887,1,Nút giao Nghi Sơn,Trạm thu phí BOT Nút giao Nghi Sơn,"19.364611804657926, 105.69575776327494",Trạm thu phí BOT Nút giao Nghi Sơn,19.3647004,105.6889165,,"9M8W+24W, Trường Lâm, Thanh Hóa, Việt Nam",Trạm thu phí BOT,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+BOT/@19.3647004,105.6889165,16z/data=!4m9!1m2!2m1!1zTsO6dCBnaWFvIE5naGkgU8ahbiA!3m5!1s0x313709000483c939:0x28cebd57ea76cb30!8m2!3d19.3644552!4d105.6953018!16s%2Fg%2F11z9wh5_6v?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D",,
1183845008,19.301875955798863,105.72421030724514,1,Hoàng Mai,Trạm thu phí Hoàng Mai,"19.3019039, 105.7242358",Trạm thu phí Hoàng Mai,19.3019039,105.7242358,4.100293515153532,"AH1, Hoàng Mai, Nghệ An, Việt Nam",,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+Ho%C3%A0ng+Mai,+AH1,+Ho%C3%A0ng+Mai,+Ngh%E1%BB%87+An,+Vi%E1%BB%87t+Nam/@19.3019039,105.7242358,17z/data=!3m1!4b1!4m6!3m5!1s0x31370b0631ba47d3:0x514cec1b205bf852!8m2!3d19.3019039!4d105.7242358!16s%2Fg%2F11bx1_g2qf?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x31370b0631ba47d3:0x514cec1b205bf852
13603305924,19.272293000332635,105.6943134,1,Nút giao Quỳnh Vinh,Trạm Thu Phí Nút giao Quỳnh Vinh,"19.2729912, 105.6880018",Trạm Thu Phí Nút giao Quỳnh Vinh,19.2729912,105.6880018,667.020632788625,"7MFR+582, Hoàng Mai, Nghệ An, Việt Nam",Trạm Thu Phí Nút giao Quỳnh Vinh,"https://www.google.com/maps/place/N%C3%BAt+giao+Qu%E1%BB%B3nh+Vinh/@19.2729912,105.6880018,17z/data=!4m10!1m2!2m1!1zTsO6dCBnaWFvIFF14buzbmggVmluaA!3m6!1s0x31370b0016c8710b:0xd1f68d689ff7e4b7!8m2!3d19.2728823!4d105.6907575!15sChZOw7p0IGdpYW8gUXXhu7NuaCBWaW5okgETY29uZG9taW5pdW1fY29tcGxleOABAA!16s%2Fg%2F11lm9zwc7q?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D",,
13603305920,19.16762610032585,105.6102029,1,Nút giao Quỳnh Lưu,Trạm Thu Phí Nút giao Quỳnh Lưu,"19.1684562, 105.6079534",Trạm Thu Phí Nút giao Quỳnh Lưu,19.1684562,105.6079534,253.6557132002594,"5J96+246 Quỳnh Sơn, Nghệ An, Việt Nam",,"https://www.google.com/maps/place/19%C2%B010'03.1%22N+105%C2%B036'37.0%22E/@19.1684562,105.6079534,17.15z/data=!4m4!3m3!8m2!3d19.1675271!4d105.6102768?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D",,
13603305927,18.96669180031211,105.5589777,1,Nút giao Diễn Cát,"Nút giao Diễn Cát, Diễn Châu, Nghệ An","18.9654379, 105.5593337","Nút giao Diễn Cát, Diễn Châu, Nghệ An",18.9654379,105.5593337,144.36574131504133,"Minh Châu, Nghệ An, Việt Nam","Nút giao Diễn Cát, Diễn Châu, Nghệ An","https://www.google.com/maps/place/N%C3%BAt+giao+Di%E1%BB%85n+C%C3%A1t,+Di%E1%BB%85n+Ch%C3%A2u,+Ngh%E1%BB%87+An/@18.9654379,105.5593337,16.81z/data=!4m6!3m5!1s0x31376311a6d91dad:0x863e6a0c5e4add22!8m2!3d18.9648478!4d105.5618974!16s%2Fg%2F11mycdqf8r?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D",,
13906136880,18.9578335,105.5616175,1,KM430+500,Trạm Thu Phí KM430+500,"18.957925049920593, 105.5617914639362",Trạm Thu phí Km 430+500,18.956451,105.561797,,"XH46+HPM Trạm Thu phí Km 430+500, CT01, Minh Châu, Nghệ An, Việt Nam",,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Km+430%2B500/data=!4m7!3m6!1s0x313763000bb46e25:0x9500363c9d87ab4b!8m2!3d18.9564512!4d105.5617969!16s%2Fg%2F11wflzvlly!19sChIJJW60CwBjNzERS6uHnTw2AJU?authuser=0&hl=vi&rclk=1,ChIJJW60CwBjNzERS6uHnTw2AJU,10736641145620114251
11938173243,18.823348400301747,105.5865241,1,Nút giao Nghi Phương,Trạm Thu phí Nghi Phương,"18.823337, 105.586381",Trạm Thu phí Nghi Phương,18.823337,105.586381,15.11424094309955,"RHFP+8HJ Trạm Thu phí Nghi Phương, Thần Lĩnh, Nghệ An, Việt Nam",Trạm Thu phí Nghi Phương,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Nghi+Ph%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x3139d9007a08f89f:0xe711713fce1393c9!8m2!3d18.8233372!4d105.5863813!16s%2Fg%2F11x34khw1x!19sChIJn_gIegDZOTERyZMTzj9xEec?authuser=0&hl=vi&rclk=1,ChIJn_gIegDZOTERyZMTzj9xEec,16650213816219702217
12450564745,18.706994600293005,105.6137435,1,Nút giao QL46B,Trạm Thu Phí Hưng Tây,"18.7070716, 105.6136523",Trạm thu phí BOT Hưng Tây,18.7070716,105.6136523,12.867325201412475,"PJ47+MH, Hưng Nguyên, Nghệ An, Việt Nam",Trạm thu phí BOT Hưng Tây,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+BOT+H%C6%B0ng+T%C3%A2y/@18.7070716,105.6136523,17.56z/data=!4m15!1m8!3m7!1s0x3139e68ba8fc2d59:0x91cd118b6c499e7f!2zUUw0NkIsIE5naOG7hyBBbiwgVmnhu4d0IE5hbQ!3b1!8m2!3d18.8198567!4d105.3041564!16s%2Fg%2F1231glf2!3m5!1s0x3139cf000999534d:0xb237eb2716def5ac!8m2!3d18.7066864!4d105.613888!16s%2Fg%2F11mkvhmhwt?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",,
10198878792,18.648599900288502,105.7045709,1,Bến Thủy 1,Trạm thu phí Bến Thủy,"18.648624654297972, 105.70458785248344",Trạm thu phí Bến Thủy,18.648611,105.704591,2.4510958112215344,"JPX3+CRW Trạm Thu Phí Bến Thủy, Nguyễn Du, Trường Vinh, Nghệ An, Việt Nam",,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+B%E1%BA%BFn+Th%E1%BB%A7y/data=!4m7!3m6!1s0x3139cc309e138d9d:0xa556f73630796640!8m2!3d18.6486115!4d105.7045906!16s%2Fg%2F11bccmh4x4!19sChIJnY0TnjDMOTERQGZ5MDb3VqU?authuser=0&hl=vi&rclk=1,ChIJnY0TnjDMOTERQGZ5MDb3VqU,11913981676368782912
