google_name,epass_name,osm_id,osm_name,distance_to_origin,origin_osm_id,origin_osm_name,latitude,longitude,google_maps_url,origin_osm_latitude,origin_osm_longitude
Trạm thu phí Cầu Hồ,Bắc Ninh Hải Dương,6862997895,Trạm thu phí Cầu Hồ,18.5,12309550435,Trạm Thu Phí Bắc Ninh Hải Dương,21.08015440040572,106.0921856,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+C%E1%BA%A7u+H%E1%BB%93/data=!4m7!3m6!1s0x31350a743345856d:0xc86375b32c403a72!8m2!3d21.0801386!4d106.0921654!16s%2Fg%2F11gh03_18k!19sChIJbYVFM3QKNTERcjpALLN1Y8g?authuser=0&hl=vi&rclk=1,21.080014100405716,106.0920903
Trạm thu phí Cầu Hồ,Bắc Ninh Hải Dương,6862997895,Trạm thu phí Cầu Hồ,23.4,12288441185,Trạm Thu Phí Bắc Ninh Hải Dương,21.08015440040572,106.0921856,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+C%E1%BA%A7u+H%E1%BB%93/data=!4m7!3m6!1s0x31350a743345856d:0xc86375b32c403a72!8m2!3d21.0801386!4d106.0921654!16s%2Fg%2F11gh03_18k!19sChIJbYVFM3QKNTERcjpALLN1Y8g?authuser=0&hl=vi&rclk=1,21.079999500405712,106.0920327
Trạm thu phí Bắc Thăng Long - Nội Bài,Bắc Thăng Long - Nội Bài,12369764927,Trạm Thu Phí Bắc Thăng Long - Nội Bài,0.0,12369764927,Trạm Thu Phí Bắc Thăng Long - Nội Bài,21.203349700407465,105.7797789,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%AFc+Th%C4%83ng+Long+-+N%E1%BB%99i+B%C3%A0i/data=!4m7!3m6!1s0x3134fd51f7b40205:0x440a3d15bb1842f3!8m2!3d21.2031777!4d105.7795302!16s%2Fg%2F11h40yh90n!19sChIJBQK091H9NDER80IYuxU9CkQ?authuser=0&hl=vi&rclk=1,21.203349700407465,105.7797789
Trạm thu phí Bắc Thăng Long - Nội Bài,Bắc Thăng Long - Nội Bài,12369764927,Trạm Thu Phí Bắc Thăng Long - Nội Bài,16.8,439439986,Trạm Thu Phí Bắc Thăng Long - Nội Bài,21.203349700407465,105.7797789,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%AFc+Th%C4%83ng+Long+-+N%E1%BB%99i+B%C3%A0i/data=!4m7!3m6!1s0x3134fd51f7b40205:0x440a3d15bb1842f3!8m2!3d21.2031777!4d105.7795302!16s%2Fg%2F11h40yh90n!19sChIJBQK091H9NDER80IYuxU9CkQ?authuser=0&hl=vi&rclk=1,21.203370300407464,105.7799396
Trạm thu phí Bến Lức,Bến Lức,2214428847,Trạm thu phí Bến Lức,0.0,2214428847,Trạm thu phí Bến Lức,10.656030899475216,106.4734695,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%BFn+L%E1%BB%A9c/data=!4m7!3m6!1s0x310acc44f1408137:0x25a2bd0beb48c647!8m2!3d10.6560048!4d106.4735373!16s%2Fg%2F11cmfdvktc!19sChIJN4FA8UTMCjERR8ZI6wu9oiU?authuser=0&hl=vi&rclk=1,10.656030899475217,106.4734695
Trạm thu phí Bến Lức,Bến Lức,2214428847,Trạm thu phí Bến Lức,14.4,2214428862,Trạm thu phí Bến Lức,10.656030899475216,106.4734695,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%BFn+L%E1%BB%A9c/data=!4m7!3m6!1s0x310acc44f1408137:0x25a2bd0beb48c647!8m2!3d10.6560048!4d106.4735373!16s%2Fg%2F11cmfdvktc!19sChIJN4FA8UTMCjERR8ZI6wu9oiU?authuser=0&hl=vi&rclk=1,10.656111099475224,106.4735727
Trạm thu phí Bến Thủy,Bến Thủy 1,10198878792,Trạm thu phí Bến Thủy,0.0,10198878792,Trạm Thu Phí Bến Thủy 1,18.648599900288502,105.7045709,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+B%E1%BA%BFn+Th%E1%BB%A7y/data=!4m7!3m6!1s0x3139cc309e138d9d:0xa556f73630796640!8m2!3d18.6486115!4d105.7045906!16s%2Fg%2F11bccmh4x4!19sChIJnY0TnjDMOTERQGZ5MDb3VqU?authuser=0&hl=vi&rclk=1,18.648599900288506,105.70457090000001
Trạm thu phí Bến Thủy,Bến Thủy 1,10198878792,Trạm thu phí Bến Thủy,10.7,10198878791,Trạm Thu Phí Bến Thủy 1,18.648599900288502,105.7045709,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+B%E1%BA%BFn+Th%E1%BB%A7y/data=!4m7!3m6!1s0x3139cc309e138d9d:0xa556f73630796640!8m2!3d18.6486115!4d105.7045906!16s%2Fg%2F11bccmh4x4!19sChIJnY0TnjDMOTERQGZ5MDb3VqU?authuser=0&hl=vi&rclk=1,18.64867480028851,105.7046345
Trạm thu phí Cầu Bến Thuỷ 2,Bến Thủy 2,10198877242,Trạm thu phí Cầu Bến Thuỷ 2,0.0,10198877242,Trạm Thu Phí Bến Thủy 2,18.640936300287912,105.6991218,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+C%E1%BA%A7u+B%E1%BA%BFn+Thu%E1%BB%B7+2/data=!4m7!3m6!1s0x3139cc233b3e30d5:0x4de96a2f8b014877!8m2!3d18.6408002!4d105.6990692!16s%2Fg%2F11fzf13zck!19sChIJ1TA-OyPMOTERd0gBiy9q6U0?authuser=0&hl=vi&rclk=1,18.640936300287912,105.69912180000001
Trạm thu phí Cầu Bến Thuỷ 2,Bến Thủy 2,10198877242,Trạm thu phí Cầu Bến Thuỷ 2,31.6,10198877241,Trạm Thu Phí Bến Thủy 2,18.640936300287912,105.6991218,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+C%E1%BA%A7u+B%E1%BA%BFn+Thu%E1%BB%B7+2/data=!4m7!3m6!1s0x3139cc233b3e30d5:0x4de96a2f8b014877!8m2!3d18.6408002!4d105.6990692!16s%2Fg%2F11fzf13zck!19sChIJ1TA-OyPMOTERd0gBiy9q6U0?authuser=0&hl=vi&rclk=1,18.64111220028792,105.69888609999998
Trạm thu phí Cai Chanh,Cai Chanh,1410065457,Trạm thu phí BOT Đắk Nông,3.8,10208878397,Trạm Thu Phí Cai Chanh,11.912202600854188,107.39056248469794,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Cai+Chanh/@11.9121874,107.3905139,17z/data=!3m1!4b1!4m6!3m5!1s0x3173a3074e16a48d:0xb547db8093c4d94a!8m2!3d11.9121874!4d107.3905139!16s%2Fg%2F11gy7fgyqd?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",11.912234599572459,107.39057499999998
Trạm thu phí Cai Chanh,Cai Chanh,1410065457,Trạm thu phí BOT Đắk Nông,23.8,10208878402,Trạm Thu Phí Cai Chanh,11.912202600854188,107.39056248469794,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Cai+Chanh/@11.9121874,107.3905139,17z/data=!3m1!4b1!4m6!3m5!1s0x3173a3074e16a48d:0xb547db8093c4d94a!8m2!3d11.9121874!4d107.3905139!16s%2Fg%2F11gy7fgyqd?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",11.912062499572444,107.3907281
Trạm thu phí Cai Lậy,Cai Lậy - QL1,1017066822,Trạm thu phí Cai Lậy,13.0,9381053362,Trạm Thu Phí Cai Lậy - QL1,10.410184194612592,106.06065573378643,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Cai+L%E1%BA%ADy/data=!4m7!3m6!1s0x310a90ca7c470ed9:0x319f12b56fc96bc!8m2!3d10.4101123!4d106.0605441!16s%2Fg%2F11fy4htjk8!19sChIJ2Q5HfMqQCjERvJb8VivxGQM?authuser=0&hl=vi&rclk=1,10.410088099460092,106.06072319999998
Trạm thu phí Cai Lậy,Cai Lậy - QL1,1017066822,Trạm thu phí Cai Lậy,14.0,9196802342,Trạm Thu Phí Cai Lậy - QL1,10.410184194612592,106.06065573378643,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Cai+L%E1%BA%ADy/data=!4m7!3m6!1s0x310a90ca7c470ed9:0x319f12b56fc96bc!8m2!3d10.4101123!4d106.0605441!16s%2Fg%2F11fy4htjk8!19sChIJ2Q5HfMqQCjERvJb8VivxGQM?authuser=0&hl=vi&rclk=1,10.410297899460105,106.0606015
Trạm thu phí tuyến tránh TX Cai Lậy,Cai Lậy - Tuyến tránh,1225571951,Trạm thu phí Tuyến tránh Cai Lậy,1.4,11365543153,Trạm Thu Phí Cai Lậy - Tuyến tránh,10.393384086706927,106.1438217759597,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+tuy%E1%BA%BFn+tr%C3%A1nh+TX+Cai+L%E1%BA%ADy/data=!4m7!3m6!1s0x310a9745e895c9b7:0x9107f9de80fd217b!8m2!3d10.3933064!4d106.1435517!16s%2Fg%2F11sr6kszy0!19sChIJt8mV6EWXCjEReyH9gN75B5E?authuser=0&hl=vi&rclk=1,10.39338119945912,106.143834
Trạm thu phí tuyến tránh TX Cai Lậy,Cai Lậy - Tuyến tránh,1225571951,Trạm thu phí Tuyến tránh Cai Lậy,137.7,11365543157,Trạm Thu Phí Cai Lậy - Tuyến tránh,10.393384086706927,106.1438217759597,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+tuy%E1%BA%BFn+tr%C3%A1nh+TX+Cai+L%E1%BA%ADy/data=!4m7!3m6!1s0x310a9745e895c9b7:0x9107f9de80fd217b!8m2!3d10.3933064!4d106.1435517!16s%2Fg%2F11sr6kszy0!19sChIJt8mV6EWXCjEReyH9gN75B5E?authuser=0&hl=vi&rclk=1,10.3930946994591,106.1425977
Trạm thu phí Cam Thịnh,Cam Thịnh,4086614472,Trạm Thu Phí Cam Thịnh,0.0,4086614472,Trạm Thu Phí Cam Thịnh,11.872420899568906,109.1085785,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Cam+Th%E1%BB%8Bnh/@11.8724221,109.1085221,17z/data=!3m1!4b1!4m6!3m5!1s0x3170ec11a54e6a3b:0xea4b65a46949a0b6!8m2!3d11.8724221!4d109.1085221!16s%2Fg%2F11c72r_xh5?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",11.872420899568906,109.1085785
Trạm thu phí Cam Thịnh,Cam Thịnh,4086614472,Trạm Thu Phí Cam Thịnh,12.5,677353918,Trạm Thu Phí Cam Thịnh,11.872420899568906,109.1085785,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Cam+Th%E1%BB%8Bnh/@11.8724221,109.1085221,17z/data=!3m1!4b1!4m6!3m5!1s0x3170ec11a54e6a3b:0xea4b65a46949a0b6!8m2!3d11.8724221!4d109.1085221!16s%2Fg%2F11c72r_xh5?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",11.872454799568912,109.10846879999998
Trạm Thu phí Chơn Thành,Chơn Thành,9201724261,Trạm Thu phí Chơn Thành,0.0,9201724261,Trạm Thu Phí Chơn Thành,11.36389149952612,106.6276194,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Ch%C6%A1n+Th%C3%A0nh/data=!4m7!3m6!1s0x3174b22a8c01f787:0x6e7e5fec706a15ed!8m2!3d11.3638488!4d106.6276504!16s%2Fg%2F12hkzkwvk!19sChIJh_cBjCqydDER7RVqcOxffm4?authuser=0&hl=vi&rclk=1,11.363891499526119,106.62761939999999
